"Country or Area","Year","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2010","1060","",""
"Afghanistan","2009","1000","",""
"Afghanistan","2008","860","",""
"Afghanistan","2007","970","",""
"Afghanistan","2006","890","",""
"Afghanistan","2005","750","",""
"Afghanistan","2004","650","",""
"Afghanistan","2003","590","",""
"Afghanistan","2002","490","",""
"Albania","2011","8900","",""
"Albania","2010","8570","",""
"Albania","2009","8560","",""
"Albania","2008","8280","",""
"Albania","2007","7390","",""
"Albania","2006","7000","",""
"Albania","2005","6220","",""
"Albania","2004","5770","",""
"Albania","2003","5350","",""
"Albania","2002","4980","",""
"Albania","2001","4820","",""
"Albania","2000","4380","",""
"Albania","1999","3950","",""
"Albania","1998","3550","",""
"Albania","1997","3090","",""
"Albania","1996","3360","",""
"Albania","1995","2980","",""
"Albania","1994","2500","",""
"Albania","1993","2200","",""
"Albania","1992","1880","",""
"Albania","1991","2020","",""
"Albania","1990","2820","",""
"Albania","1989","3040","",""
"Albania","1988","2720","",""
"Albania","1987","2730","",""
"Albania","1986","2750","",""
"Albania","1985","2610","",""
"Albania","1984","2550","",""
"Algeria","2011","8370","",""
"Algeria","2010","8060","",""
"Algeria","2009","8240","",""
"Algeria","2008","7940","",""
"Algeria","2007","7660","",""
"Algeria","2006","7150","",""
"Algeria","2005","6810","",""
"Algeria","2004","6420","",""
"Algeria","2003","6040","",""
"Algeria","2002","5620","",""
"Algeria","2001","5410","",""
"Algeria","2000","5130","",""
"Algeria","1999","4990","",""
"Algeria","1998","4870","",""
"Algeria","1997","4610","",""
"Algeria","1996","4510","",""
"Algeria","1995","4340","",""
"Algeria","1994","4210","",""
"Algeria","1993","4280","",""
"Algeria","1992","4330","",""
"Algeria","1991","4250","",""
"Algeria","1990","4330","",""
"Algeria","1989","4250","",""
"Algeria","1988","4020","",""
"Algeria","1987","4080","",""
"Algeria","1986","4110","",""
"Algeria","1985","4100","",""
"Algeria","1984","3960","",""
"Algeria","1983","3740","",""
"Algeria","1982","3510","",""
"Algeria","1981","3220","",""
"Algeria","1980","2950","",""
"Angola","2011","5290","",""
"Angola","2010","5170","",""
"Angola","2009","5130","",""
"Angola","2008","4690","",""
"Angola","2007","4340","",""
"Angola","2006","3450","",""
"Angola","2005","2880","",""
"Angola","2004","2480","",""
"Angola","2003","2250","",""
"Angola","2002","2160","",""
"Angola","2001","1850","",""
"Angola","2000","1790","",""
"Angola","1999","1650","",""
"Angola","1998","1710","",""
"Angola","1997","1670","",""
"Angola","1996","1460","",""
"Angola","1995","1240","",""
"Angola","1994","740","",""
"Angola","1993","930","",""
"Angola","1992","1240","",""
"Angola","1991","1790","",""
"Angola","1990","1790","",""
"Angola","1989","1860","",""
"Angola","1988","1820","",""
"Angola","1987","1920","",""
"Angola","1986","1750","",""
"Angola","1985","1710","",""
"Antigua and Barbuda","2011","15670","",""
"Antigua and Barbuda","2010","16080","",""
"Antigua and Barbuda","2009","17370","",""
"Antigua and Barbuda","2008","19310","",""
"Antigua and Barbuda","2007","18910","",""
"Antigua and Barbuda","2006","20570","",""
"Antigua and Barbuda","2005","17790","",""
"Antigua and Barbuda","2004","16610","",""
"Antigua and Barbuda","2003","15370","",""
"Antigua and Barbuda","2002","14450","",""
"Antigua and Barbuda","2001","14390","",""
"Antigua and Barbuda","2000","13680","",""
"Antigua and Barbuda","1999","13770","",""
"Antigua and Barbuda","1998","13380","",""
"Antigua and Barbuda","1997","12900","",""
"Antigua and Barbuda","1996","11860","",""
"Antigua and Barbuda","1995","11510","",""
"Antigua and Barbuda","1994","12060","",""
"Antigua and Barbuda","1993","11430","",""
"Antigua and Barbuda","1992","10630","",""
"Antigua and Barbuda","1991","10400","",""
"Antigua and Barbuda","1990","9540","",""
"Antigua and Barbuda","1989","8960","",""
"Antigua and Barbuda","1988","8360","",""
"Antigua and Barbuda","1987","7130","",""
"Antigua and Barbuda","1986","6250","",""
"Antigua and Barbuda","1985","6170","",""
"Antigua and Barbuda","1984","5510","",""
"Antigua and Barbuda","1983","4740","",""
"Antigua and Barbuda","1982","4210","",""
"Antigua and Barbuda","1981","3950","",""
"Antigua and Barbuda","1980","3460","",""
"Arab World","2011","9636.42518713613","",""
"Arab World","2010","9153.81661353085","",""
"Arab World","2009","8978.47601066005","",""
"Arab World","2008","8892.86469635232","",""
"Arab World","2007","8478.32098234165","",""
"Arab World","2006","8046.94541752435","",""
"Arab World","2005","7490.68646944412","",""
"Arab World","2004","6979.39689593997","",""
"Arab World","2003","6523.11339220874","",""
"Arab World","2002","6145.21944860986","",""
"Arab World","2001","6106.82617256765","",""
"Arab World","2000","5811.71613075967","",""
"Arab World","1999","5606.13372508236","",""
"Arab World","1998","5576.3437035603","",""
"Arab World","1997","5358.33587937785","",""
"Arab World","1996","5191.5520773981","",""
"Arab World","1995","5003.01950673","",""
"Arab World","1994","4881.63441813875","",""
"Arab World","1993","4774.87923040218","",""
"Arab World","1992","4694.5707756751","",""
"Arab World","1991","4495.50024526084","",""
"Arab World","1990","4260.1193528111","",""
"Arab World","1989","4072.60618526728","",""
"Arab World","1988","3912.7697750556","",""
"Arab World","1987","3721.43340892999","",""
"Arab World","1986","3706.02372894628","",""
"Arab World","1985","3542.9979195376","",""
"Arab World","1984","3516.65876172413","",""
"Arab World","1983","3456.30587234376","",""
"Arab World","1982","3378.03727843823","",""
"Arab World","1981","3313.36290600758","",""
"Arab World","1980","3034.38515755278","",""
"Argentina","2011","17250","",""
"Argentina","2010","15500","",""
"Argentina","2009","14110","",""
"Argentina","2008","14100","",""
"Argentina","2007","13060","",""
"Argentina","2006","11730","",""
"Argentina","2005","10470","",""
"Argentina","2004","9120","",""
"Argentina","2003","8180","",""
"Argentina","2002","7340","",""
"Argentina","2001","8570","",""
"Argentina","2000","8880","",""
"Argentina","1999","8860","",""
"Argentina","1998","9150","",""
"Argentina","1997","8830","",""
"Argentina","1996","8110","",""
"Argentina","1995","7660","",""
"Argentina","1994","7840","",""
"Argentina","1993","7360","",""
"Argentina","1992","6850","",""
"Argentina","1991","6000","",""
"Argentina","1990","5150","",""
"Argentina","1989","4940","",""
"Argentina","1988","5450","",""
"Argentina","1987","5470","",""
"Argentina","1986","5250","",""
"Argentina","1985","4790","",""
"Argentina","1984","5110","",""
"Argentina","1983","4870","",""
"Argentina","1982","4560","",""
"Argentina","1981","4770","",""
"Argentina","1980","4770","",""
"Armenia","2011","6140","",""
"Armenia","2010","5640","",""
"Armenia","2009","5380","",""
"Armenia","2008","6340","",""
"Armenia","2007","5760","",""
"Armenia","2006","4940","",""
"Armenia","2005","4210","",""
"Armenia","2004","3590","",""
"Armenia","2003","3170","",""
"Armenia","2002","2740","",""
"Armenia","2001","2360","",""
"Armenia","2000","2090","",""
"Armenia","1999","1930","",""
"Armenia","1998","1830","",""
"Armenia","1997","1720","",""
"Armenia","1996","1560","",""
"Armenia","1995","1390","",""
"Armenia","1994","1240","",""
"Armenia","1993","1040","",""
"Armenia","1992","990","",""
"Armenia","1991","1950","",""
"Armenia","1990","2040","",""
"Australia","2010","36410","",""
"Australia","2009","37970","",""
"Australia","2008","35920","",""
"Australia","2007","34760","",""
"Australia","2006","33030","",""
"Australia","2005","31540","",""
"Australia","2004","30620","",""
"Australia","2003","29170","",""
"Australia","2002","28150","",""
"Australia","2001","26740","",""
"Australia","2000","25700","",""
"Australia","1999","24620","",""
"Australia","1998","23550","",""
"Australia","1997","22170","",""
"Australia","1996","21160","",""
"Australia","1995","20140","",""
"Australia","1994","19390","",""
"Australia","1993","18500","",""
"Australia","1992","17570","",""
"Australia","1991","17030","",""
"Australia","1990","16580","",""
"Australia","1989","15530","",""
"Australia","1988","14520","",""
"Australia","1987","13610","",""
"Australia","1986","13140","",""
"Australia","1985","12580","",""
"Australia","1984","11880","",""
"Australia","1983","10980","",""
"Australia","1982","10750","",""
"Australia","1981","10000","",""
"Australia","1980","9000","",""
"Austria","2011","42080","",""
"Austria","2010","39820","",""
"Austria","2009","38570","",""
"Austria","2008","39700","",""
"Austria","2007","37610","",""
"Austria","2006","36190","",""
"Austria","2005","33300","",""
"Austria","2004","32600","",""
"Austria","2003","31000","",""
"Austria","2002","30090","",""
"Austria","2001","28410","",""
"Austria","2000","28420","",""
"Austria","1999","26700","",""
"Austria","1998","25880","",""
"Austria","1997","24760","",""
"Austria","1996","24240","",""
"Austria","1995","23180","",""
"Austria","1994","22270","",""
"Austria","1993","21440","",""
"Austria","1992","21050","",""
"Austria","1991","20320","",""
"Austria","1990","19290","",""
"Austria","1989","17940","",""
"Austria","1988","16720","",""
"Austria","1987","15700","",""
"Austria","1986","15050","",""
"Austria","1985","14440","",""
"Austria","1984","13680","",""
"Austria","1983","13190","",""
"Austria","1982","12280","",""
"Austria","1981","11340","",""
"Austria","1980","10440","",""
"Azerbaijan","2011","9020","",""
"Azerbaijan","2010","9240","",""
"Azerbaijan","2009","8680","",""
"Azerbaijan","2008","7770","",""
"Azerbaijan","2007","6650","",""
"Azerbaijan","2006","5390","",""
"Azerbaijan","2005","3940","",""
"Azerbaijan","2004","3200","",""
"Azerbaijan","2003","2910","",""
"Azerbaijan","2002","2580","",""
"Azerbaijan","2001","2320","",""
"Azerbaijan","2000","2090","",""
"Azerbaijan","1999","1940","",""
"Azerbaijan","1998","1810","",""
"Azerbaijan","1997","1640","",""
"Azerbaijan","1996","1510","",""
"Azerbaijan","1995","1500","",""
"Azerbaijan","1994","1690","",""
"Azerbaijan","1993","2090","",""
"Bahamas, The","2010","29850","",""
"Bahamas, The","2009","30990","",""
"Bahamas, The","2008","32670","",""
"Bahamas, The","2007","32700","",""
"Bahamas, The","2006","32030","",""
"Bahamas, The","2005","30670","",""
"Bahamas, The","2004","29310","",""
"Bahamas, The","2003","28590","",""
"Bahamas, The","2002","28600","",""
"Bahamas, The","2001","27780","",""
"Bahamas, The","2000","26880","",""
"Bahamas, The","1999","25650","",""
"Bahamas, The","1998","24130","",""
"Bahamas, The","1997","22290","",""
"Bahamas, The","1996","27520","",""
"Bahamas, The","1995","24310","",""
"Bahamas, The","1994","19690","",""
"Bahamas, The","1993","19060","",""
"Bahamas, The","1992","19230","",""
"Bahamas, The","1991","19470","",""
"Bahamas, The","1990","19990","",""
"Bahamas, The","1989","20080","",""
"Bahamas, The","1988","18010","",""
"Bahamas, The","1987","17300","",""
"Bahamas, The","1986","16500","",""
"Bahamas, The","1985","16080","",""
"Bahamas, The","1984","15140","",""
"Bahamas, The","1983","13080","",""
"Bahamas, The","1982","12390","",""
"Bahamas, The","1981","10900","",""
"Bahamas, The","1980","11380","",""
"Bahrain","2010","21240","",""
"Bahrain","2009","21180","",""
"Bahrain","2008","24700","",""
"Bahrain","2007","26550","",""
"Bahrain","2006","26940","",""
"Bahrain","2005","27210","",""
"Bahrain","2004","25800","",""
"Bahrain","2003","24680","",""
"Bahrain","2002","22460","",""
"Bahrain","2001","21460","",""
"Bahrain","2000","20460","",""
"Bahrain","1999","19110","",""
"Bahrain","1998","18800","",""
"Bahrain","1997","18030","",""
"Bahrain","1996","18300","",""
"Bahrain","1995","17660","",""
"Bahrain","1994","16450","",""
"Bahrain","1993","16660","",""
"Bahrain","1992","15470","",""
"Bahrain","1991","15070","",""
"Bahrain","1990","10830","",""
"Bahrain","1989","10640","",""
"Bahrain","1988","10480","",""
"Bahrain","1987","10260","",""
"Bahrain","1986","9350","",""
"Bahrain","1985","9580","",""
"Bahrain","1984","10490","",""
"Bahrain","1983","9850","",""
"Bahrain","1982","9300","",""
"Bahrain","1981","9940","",""
"Bahrain","1980","9690","",""
"Bangladesh","2011","1940","",""
"Bangladesh","2010","1810","",""
"Bangladesh","2009","1700","",""
"Bangladesh","2008","1600","",""
"Bangladesh","2007","1470","",""
"Bangladesh","2006","1350","",""
"Bangladesh","2005","1220","",""
"Bangladesh","2004","1140","",""
"Bangladesh","2003","1060","",""
"Bangladesh","2002","990","",""
"Bangladesh","2001","940","",""
"Bangladesh","2000","890","",""
"Bangladesh","1999","840","",""
"Bangladesh","1998","800","",""
"Bangladesh","1997","770","",""
"Bangladesh","1996","730","",""
"Bangladesh","1995","700","",""
"Bangladesh","1994","660","",""
"Bangladesh","1993","630","",""
"Bangladesh","1992","600","",""
"Bangladesh","1991","580","",""
"Bangladesh","1990","550","",""
"Bangladesh","1989","520","",""
"Bangladesh","1988","500","",""
"Bangladesh","1987","480","",""
"Bangladesh","1986","460","",""
"Bangladesh","1985","440","",""
"Bangladesh","1984","430","",""
"Bangladesh","1983","410","",""
"Bangladesh","1982","380","",""
"Bangladesh","1981","360","",""
"Bangladesh","1980","310","",""
"Barbados","2009","18850","",""
"Barbados","2008","17950","",""
"Barbados","2007","17710","",""
"Barbados","2006","17180","",""
"Barbados","2005","17080","",""
"Barbados","2004","16220","",""
"Barbados","2003","15240","",""
"Barbados","2002","14640","",""
"Barbados","2001","15050","",""
"Barbados","2000","15610","",""
"Barbados","1999","15020","",""
"Barbados","1998","14560","",""
"Barbados","1997","13860","",""
"Barbados","1996","12760","",""
"Barbados","1995","12340","",""
"Barbados","1994","11960","",""
"Barbados","1993","11250","",""
"Barbados","1992","11020","",""
"Barbados","1991","11240","",""
"Barbados","1990","11550","",""
"Barbados","1989","11560","",""
"Barbados","1988","10550","",""
"Barbados","1987","9630","",""
"Barbados","1986","9270","",""
"Barbados","1985","8550","",""
"Belarus","2011","14560","",""
"Belarus","2010","13590","",""
"Belarus","2009","12430","",""
"Belarus","2008","12280","",""
"Belarus","2007","10820","",""
"Belarus","2006","9710","",""
"Belarus","2005","8540","",""
"Belarus","2004","7520","",""
"Belarus","2003","6540","",""
"Belarus","2002","5930","",""
"Belarus","2001","5520","",""
"Belarus","2000","5140","",""
"Belarus","1999","4740","",""
"Belarus","1998","4490","",""
"Belarus","1997","4060","",""
"Belarus","1996","3580","",""
"Belarus","1995","3400","",""
"Belarus","1994","3710","",""
"Belarus","1993","4120","",""
"Belarus","1992","4370","",""
"Belarus","1991","4740","",""
"Belarus","1990","4640","",""
"Belgium","2011","39270","",""
"Belgium","2010","38350","",""
"Belgium","2009","36490","",""
"Belgium","2008","37560","",""
"Belgium","2007","36010","",""
"Belgium","2006","34530","",""
"Belgium","2005","32400","",""
"Belgium","2004","31520","",""
"Belgium","2003","30740","",""
"Belgium","2002","30450","",""
"Belgium","2001","28970","",""
"Belgium","2000","28290","",""
"Belgium","1999","25850","",""
"Belgium","1998","24820","",""
"Belgium","1997","24340","",""
"Belgium","1996","23270","",""
"Belgium","1995","22860","",""
"Belgium","1994","21970","",""
"Belgium","1993","20750","",""
"Belgium","1992","20380","",""
"Belgium","1991","19700","",""
"Belgium","1990","18680","",""
"Belgium","1989","17470","",""
"Belgium","1988","16370","",""
"Belgium","1987","15160","",""
"Belgium","1986","14370","",""
"Belgium","1985","13790","",""
"Belgium","1984","13130","",""
"Belgium","1983","12330","",""
"Belgium","1982","11830","",""
"Belgium","1981","11130","",""
"Belgium","1980","10200","",""
"Belize","2011","6070","",""
"Belize","2010","5890","",""
"Belize","2009","6070","",""
"Belize","2008","5930","",""
"Belize","2007","5780","",""
"Belize","2006","5870","",""
"Belize","2005","5610","",""
"Belize","2004","5420","",""
"Belize","2003","5320","",""
"Belize","2002","4950","",""
"Belize","2001","4750","",""
"Belize","2000","4650","",""
"Belize","1999","4180","",""
"Belize","1998","3920","",""
"Belize","1997","3890","",""
"Belize","1996","3820","",""
"Belize","1995","3800","",""
"Belize","1994","3780","",""
"Belize","1993","3810","",""
"Belize","1992","3630","",""
"Belize","1991","3280","",""
"Belize","1990","2970","",""
"Belize","1989","2620","",""
"Belize","1988","2290","",""
"Belize","1987","2080","",""
"Belize","1986","1880","",""
"Belize","1985","1760","",""
"Belize","1984","1730","",""
"Belize","1983","1720","",""
"Belize","1982","1730","",""
"Belize","1981","1700","",""
"Belize","1980","1580","",""
"Benin","2011","1630","",""
"Benin","2010","1580","",""
"Benin","2009","1570","",""
"Benin","2008","1530","",""
"Benin","2007","1440","",""
"Benin","2006","1370","",""
"Benin","2005","1340","",""
"Benin","2004","1300","",""
"Benin","2003","1260","",""
"Benin","2002","1230","",""
"Benin","2001","1200","",""
"Benin","2000","1150","",""
"Benin","1999","1100","",""
"Benin","1998","1060","",""
"Benin","1997","1020","",""
"Benin","1996","960","",""
"Benin","1995","920","",""
"Benin","1994","890","",""
"Benin","1993","870","",""
"Benin","1992","840","",""
"Benin","1991","830","",""
"Benin","1990","790","",""
"Benin","1989","760","",""
"Benin","1988","780","",""
"Benin","1987","750","",""
"Benin","1986","760","",""
"Benin","1985","740","",""
"Benin","1984","690","",""
"Benin","1983","640","",""
"Benin","1982","670","",""
"Benin","1981","630","",""
"Benin","1980","540","",""
"Bhutan","2011","5480","",""
"Bhutan","2010","4970","",""
"Bhutan","2009","4490","",""
"Bhutan","2008","4000","",""
"Bhutan","2007","4080","",""
"Bhutan","2006","3810","",""
"Bhutan","2005","3030","",""
"Bhutan","2004","3100","",""
"Bhutan","2003","2840","",""
"Bhutan","2002","2720","",""
"Bhutan","2001","2550","",""
"Bhutan","2000","2350","",""
"Bhutan","1999","2120","",""
"Bhutan","1998","2140","",""
"Bhutan","1997","2210","",""
"Bhutan","1996","2020","",""
"Bhutan","1995","1820","",""
"Bhutan","1994","1780","",""
"Bhutan","1993","1570","",""
"Bhutan","1992","1410","",""
"Bhutan","1991","1360","",""
"Bhutan","1990","1280","",""
"Bhutan","1989","1200","",""
"Bhutan","1988","940","",""
"Bhutan","1987","830","",""
"Bhutan","1986","660","",""
"Bhutan","1985","570","",""
"Bhutan","1984","550","",""
"Bhutan","1983","490","",""
"Bhutan","1982","460","",""
"Bhutan","1981","420","",""
"Bolivia","2011","4920","",""
"Bolivia","2010","4620","",""
"Bolivia","2009","4480","",""
"Bolivia","2008","4380","",""
"Bolivia","2007","4090","",""
